Actors,Actors_New
Multilateral Organisations,Global/Regional Institutions and Science-Policy Interfaces
Governments,Local/National Governments and Municipalities
Civil Society,Civil Society and Community-Based Organisations
Private,Private Sector and Business Organisations
Media,Media and the Arts
Funders,Financial Institutions
Academia,Knowledge and Educational Communities
NGOs,Civil Society and Community-Based Organisations
Regional Organisations,Global/Regional Institutions and Science-Policy Interfaces
IPLCs,IPLCs
