CovidenceID,Title,name,value
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,PaperType,Review
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,PaperType,Modelling
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Region,Western Asia
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Region,Southern Europe
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Scale,Local >1 km² to 100 km² (neighbourhood to municipality)
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Nexus,Biodiversity
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Nexus,Food
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,NChallenge,Governance Challenges
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Gov,NA
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Policy,Legal and Regulatory Instruments
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Actors,Global/Regional Institutions and Science-Policy Interfaces
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Actors,Local/National Governments and Municipalities
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,CrossCut,Economy
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Scaling,No
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Enablers,Policy design & Implementation
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Enablers_CritC5,Impacts on each nexus element (#3)
#2623,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Enablers_CritC5,NA
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,PaperType,Review
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Region,Southern Europe
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Scale,National (whole country)
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Nexus,Climate change
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Nexus,Food
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Nexus,Water
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,NChallenge,Complexity Challenges
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,NChallenge,Values Challenges
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Gov,NA
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Policy,Legal and Regulatory Instruments
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Policy,Economic and Financial Instruments
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Actors,Civil Society and Community-Based Organisations
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Actors,Local/National Governments and Municipalities
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,CrossCut,Energy
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Scaling,No
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers,Policy design & Implementation
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers,Finance & Economics
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers,Technology
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers,Material & Non-material endowments
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,Impacts on each nexus element (#3)
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,NA
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,Social acceptability (#4)
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,Alignment with political priorities (#5)
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,Alignment with international frameworks (#9)
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,Temporal scale (#2)
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,Economic implications (#6)
#2622,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Enablers_CritC5,Technical feasibility (#7)
