Gov,Gov_New
NA,NA
Network Governance,Network Governance
Community Governance,Community Governance
Adaptive governance,Adaptive Governance
Hierarchical Governance,Hierarchical Governance
adaptive governance,Adaptive Governance
polycentric governance,Polycentric Governance
none,NA
Market Governance,Market Governance
good governance,Good Governance
multi-level governance,Multi-level Governance
pluralistic mechanisms,NA
transformative policy,Transformative Governance
transformative governance,Transformative Governance
collaborative governance,Collaborative Governance
Cooperative multilevel governance,Multi-level Governance
flexible governance approaches,Flexible Governance
inclusive governance,Inclusive Governance
multi-lateral governance,Multi-lateral Governance
Collaborative,Collaborative Governance
adaptive,Adaptive Governance
Adaptive Governance,Adaptive Governance
participatory and decentralized governance involving Governments,Participatory Governance
local communities,NA
private sector,NA
and non-governmental organizations in decision-making processes facilitate the sustainable use of biodiversity and nature’s contributions to people.,NA
Collaborative governance approaches,Collaborative Governance
multilevel governance,Multi-level Governance
policy coherence,NA
transformational adaptation,Transformative Governance
Polycentric governance,Polycentric Governance
Multi-centred or polycentric forms of governance,Polycentric Governance
and cross-sectoral governance,Cross-sectoral Governance
Integrative environmental governance,Integrative Governance
coordinated management,Coordinated Governance
cognitive modes of governance,NA
,NA
Nested governance,Nested Governance
Other,NA
Integrated Water Resources Management (IWRM),Integrative Governance
Multi-level Governance,Multi-level Governance
meta-governance,Meta-governance
coordinated governance,Coordinated Governance
multi-modal governance,Multi-modal Governance
cross-sectoral governance,Cross-sectoral Governance
Reflexive Governance,Reflexive Governance
An integrated governance is thus needed for securing these multi-functional landscapes.,Integrative Governance
water governance,NA
nexus governance,Nexus Governance
Integrated lake bassin approach,Integrative Governance
decentralised governance,Decentralised Governance
integrative environmental governance,Integrative Governance
Multi-level governance,Multi-level Governance
multilateral governance/international cooperation,Multi-lateral Governance
Decentralised governance,Decentralised Governance
Human Rights-based Approach (RBA),NA
Participatory Water Governance,Participatory Governance
system governance,System Governance
integrated water resources management,Integrative Governance
integrative governance,Integrative Governance
"""Nexus Governance""",Nexus Governance
"""Collaborative Governance""",Collaborative Governance
Integrated natural resource management,Integrative Governance
regulatory processes,NA
None,NA
Biocultural governance approaches,Biocultural Governance
Adaptive ecosystem and resource governance,System Governance
resource based governance,Resource-based Governance
Integrated management approaches,Integrative Governance
integrated natural resources management,Integrative Governance
Polycentric governance was proposed,Polycentric Governance
water diplomacy,NA
adaptive management,Adaptive Governance
Centralized governance,Centralised Governance
integrated water resource management,Integrative Governance
sustainable governance,NA
Governance and institutional mechanisms in more general terms,NA
Governance among different nexus dimensions' sectors,Nexus Governance
Consumption-based governance,Consumption-based Governance
focusing intensity metrics on scale efficiency and aiming quantity metrics on pure technical efficiency,NA
and localizing province-specific management strategies.,NA
Collaborative governance,Collaborative Governance
Transboundary governance,Transboundary Governance
policy integration,NA
NONE,NA
cooperation vs. no cooperation,NA
governance that allow coordination between different actors,Coordinated Governance
Integrated governance approach,Integrative Governance
