Gov,Gov_New
NA,NA
Hierarchical Governance,Hierarchical Governance
Network Governance,Network Governance
Polycentric governance,Other
Integrated governance approach,NA
Other,NA
Community Governance,Community Governance
governance that allow coordination between different actors,NA
Market Governance,Market Governance
cooperation vs. no cooperation,NA
NONE,NA
Adaptive governance,Other
policy integration,NA
multi-level governance,Other
Transboundary governance,NA
Collaborative governance,NA
Consumption-based governance,NA
focusing intensity metrics on scale efficiency and aiming quantity metrics on pure technical efficiency,NA
and localizing province-specific management strategies.,NA
Multi-level governance,Other
Governance among different nexus dimensions' sectors,NA
integrated water resource management,NA
none,NA
Centralized governance,NA
water diplomacy,NA
adaptive management,Other
Polycentric governance was proposed,Other
integrated natural resources management,NA
polycentric governance,Other
Integrated management approaches,NA
Adaptive ecosystem and resource governance,Other
resource based governance,NA
Biocultural governance approaches,NA
None,NA
regulatory processes,NA
Integrated natural resource management,NA
"""Nexus Governance""",NA
"""Collaborative Governance""",NA
integrative governance,NA
system governance,NA
integrated water resources management,NA
Human Rights-based Approach (RBA),NA
Participatory Water Governance,NA
multilateral governance/international cooperation,NA
integrative environmental governance,NA
decentralised governance,NA
Integrated lake bassin approach,NA
An integrated governance is thus needed for securing these multi-functional landscapes.,NA
Reflexive Governance,Other
Integrated Water Resources Management (IWRM),NA
Multi-level Governance,Other
Nested governance,Other
cognitive modes of governance,NA
,NA
coordinated management,NA
Integrative environmental governance,NA
Multi-centred or polycentric forms of governance,Other
and cross-sectoral governance,NA
collaborative governance,NA
transformative governance,Other
transformative policy,Other
good governance,Other
pluralistic mechanisms,NA
