Covidence #,Study ID,Title,Reviewer Name,Select all geographic regions the paper focusses on according to UN standard area codes (https://unstats.un.org/unsd/methodology/m49/),"If relevant, enter names of the countries the study focusses on (separating multiple country names with "","") according to UN standard country names (https://unstats.un.org/unsd/methodology/m49/)",Select the relevant spatial scales (extent) of the study. Choose all that apply.,Does the study provide evidence for addressing any of the following nexus challenges?,Nexus Challenges Notes,Policy Effectiveness:,"Level of consideration of synergies and trade-offs (e.g., among nexus elements) Enabler","Level of consideration of synergies and trade-offs (e.g., among nexus elements) Barrier",Diversity of approaches employed to reach targets Enabler,Diversity of approaches employed to reach targets Barrier,Effectiveness of monitoring and evaluation Enabler,Effectiveness of monitoring and evaluation Barrier,Level of consideration of distributional implications Enabler,Level of consideration of distributional implications Barrier,Clarity and measurability of targets Enabler,Clarity and measurability of targets Barrier,Level of alignment with social values and priorities Enabler,Level of alignment with social values and priorities Barrier,Level of alignment with political values and priorities Enabler,Level of alignment with political values and priorities Barrier,Level of alignment with international priorities Enabler,Level of alignment with international priorities Barrier,Level of common understanding of nexus challenges and opportunities Enabler,Level of common understanding of nexus challenges and opportunities Barrier,Level of tailoring of policies/instruments to specific regional nexus relations Enabler,Level of tailoring of policies/instruments to specific regional nexus relations Barrier,"Level of complexity (e.g., in dynamics, uncertainty, and policy solutions) Enabler","Level of complexity (e.g., in dynamics, uncertainty, and policy solutions) Barrier",Spatial scale of implementation Enabler,Spatial scale of implementation Barrier,Temporal scale of implementation Enabler,Temporal scale of implementation Barrier,Level of intergenerational thinking Enabler,Level of intergenerational thinking Barrier,Level of consideration of diversity in institutional and actor values Enabler,Level of consideration of diversity in institutional and actor values Barrier,Institutional Capacity:,Number and quality of strategic partnerships Enabler,Number and quality of strategic partnerships Barrier,Level of participatory and collaborative planning Enabler,Level of participatory and collaborative planning Barrier,Level of attention to power asymmetries and redistribution of power Enabler,Level of attention to power asymmetries and redistribution of power Barrier,Level of coordination among sectors Enabler,Level of coordination among sectors Barrier,Characteristics of political systems and political cycles Enabler,Characteristics of political systems and political cycles Barrier,Level of organisational learning and course correction capability Enabler,Level of organisational learning and course correction capability Barrier,Economics & Financing:,Cost (including opportunity costs) Enabler,Cost (including opportunity costs) Barrier,Cost-benefit ratio Enabler,Cost-benefit ratio Barrier,Level of investment/financing Enabler,Level of investment/financing Barrier,Adequacy of economic valuation of nature Enabler,Adequacy of economic valuation of nature Barrier,Level of evaluation of environmental externalities Enabler,Level of evaluation of environmental externalities Barrier,Level to which property rights are well defined and/or accepted Enabler,Level to which property rights are well defined and/or accepted Barrier,Level of quantification of spatial heterogeneity in social-ecological costs and benefits Enabler,Level of quantification of spatial heterogeneity in social-ecological costs and benefits Barrier,Level of commodification of nature Enabler,Level of commodification of nature Barrier,Level to which financial incentives crowd out other incentives Enabler,Level to which financial incentives crowd out other incentives Barrier,Ratio of short-term to long-term funding Enabler,Ratio of short-term to long-term funding Barrier,Extent to which funding is siloed Enabler,Extent to which funding is siloed Barrier,Behaviour & Lifestyle:,Level and acceptability of social movements and citizen engagement Enabler,Level and acceptability of social movements and citizen engagement Barrier,"Nature of habits, beliefs, and values Enabler","Nature of habits, beliefs, and values Barrier",Extrent of individual and collective agency and leadership Enabler,Extrent of individual and collective agency and leadership Barrier,Amount and quality of awareness and education Enabler,Amount and quality of awareness and education Barrier,Ability to implement environmental litigation Enabler,Ability to implement environmental litigation Barrier,Extent and quality of media coverage Enabler,Extent and quality of media coverage Barrier,Level of focus on individual behaviour versus broader systemic change Enabler,Level of focus on individual behaviour versus broader systemic change Barrier,Level of ethical concerns about influencing behaviour/lifestyle changes Enabler,Level of ethical concerns about influencing behaviour/lifestyle changes Barrier,Technology:,Access to technology Enabler,Access to technology Barrier,Level of technology lock-in/path dependencies Enabler,Level of technology lock-in/path dependencies Barrier,Level of access to monitoring systems for integrated monitoring of the nexus Enabler,Level of access to monitoring systems for integrated monitoring of the nexus Barrier,Level of trust in technological solutions Enabler,Level of trust in technological solutions Barrier,Material Endowment (Non-financial):,Availability of natural capital Enabler,Availability of natural capital Barrier,Availability of produced capital Enabler,Availability of produced capital Barrier,Availability of human capital Enabler,Availability of human capital Barrier,Availability of social capital Enabler,Availability of social capital Barrier,"Are any other enablers mentioned? Separate multiple enablers with "","". ","Are any other barriers mentioned? Separate multiple barriers with "","".",Are any enablers or barriers mentioned specifically with respect to scaling?,Enablers & Barriers Notes,"Are any of the following governance approaches proposed or assessed as solutions to the above nexus challenges? Use your judgement to select one of the four governance approaches listed and then use the ""other"" category to list any specific governance approaches referred to in the study (separate multiple governance approaches with "","")",Governance Approaches Notes,What type of policy instruments are considered to operationalise the response options proposed or assessed?,"What specific policy instruments are proposed or assessed? Separate multiple policy instruments with "","".",Policy Instruments Notes,"Are any leverage points or levers specifically mentioned? Separate multiple leverage points with "","".",Which types of actors are involved in the implementation of the response options proposed or assessed?,"Which specific actors are considered? Separate multiple actors/institutions with "","".",Is there any evidence of intermediaries facilitating change? If so describe this below.,Actors Notes,Which nexus elements are considered?,Nexus Elements Notes,Which of the following cross cutting issues are considered?,Cross Cutting Issues Notes,What type of paper is this?,Type of Paper Notes,Would this paper make a good case study?,Case Studies Notes,"Do you have any other notes, comments, or insights on this paper?"
2623,MacKenzie 2011,Historical ecology provides new insights for ecosystem management: Eastern Baltic cod case study,Consensus,Western Asia; Southern Europe,"Black sea (bordered by Bulgaria, Romania, Ukraine, Russia, Georgia, and Turkey)",Local >1 km² to 100 km² (neighbourhood to municipality),Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ,"","",X,"","","",X,"","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Definition of management goalsm, available knowledge (process-based knowledge of environmental impacts), development of new dataset, stakeholders engagement, historical ecological investigations","",No,"","","",Legal and Regulatory Instruments,"EU’s Marine Strategy Framework Directive (MSFD), Baltic Sea Action Plan (BSAP)","",Transition to maximum sustainable yield (MSY) based approaches and establisment of good environmental status (GES) for fish stocks,Multilateral Organisations; Governments,"International Council for the Exploration of the Sea, EU, Helsinki Commission for the Protection of the Baltic Marine Environment (HELCOM)","","",Biodiversity; Food,"",Economic growth,"",Review; Modelling,"",Maybe,"",""
2622,Cóndor 2012,The Contribution of Rural Development Programmes in Mitigating Greenhouse Gas Emissions in Italy,Consensus,Southern Europe,Italy,National (whole country),Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),"","",X,"",X,"",X,"","","",X,"",X,"",X,"",X,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","",X,"",X,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","",X,"","",X,"",X,"","","","","","Establishment and development of integrated agricultural production (eg to rationalize the use of fertilizers), organic farming actions, supporting areas development (training courses, bioenergy programmes, material structures), market interventions and direct payments (agro-environmental payments, animal welfare payments, non-productive investments, environmental forestry payments, investment in training and farm advisory services),  policies for training/information and assistance, improvement in scientific/technical knowledge (eg inventories)","",No,"","","",Legal and Regulatory Instruments; Economic and Financial Instruments; Other: International conventions,"National Rural Development Plan, Directive 2000/60, Health Check reform, Common Agricultural Policy (CAP), The United Nations Framework Convention on Climate Change, Law No. 65 of 15 January 1994, EU Burden Sharing Agreement, Kyoto Protocol, Law No. 120 of 1 June 2002, European Union’s Greenhouse Gas Monitoring Mechanism, National Inventory Report, National Communication report, Italian National Communication, European Community Nitrates Directive and IPCC Directive","","",Civil Society; Governments,Ministry for the Environment/Land and Sea,"","",Climate; Food; Water,"",Energy,"",Review,"",Maybe,"",""
2621,AtaurRahman 2015,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Consensus,Southern Asia,Bangladesh,National (whole country),Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ,"","","","","","","",X,"","","",X,X,"",X,"","","","","","","","","","","","","","","","","","","","","",X,"","","",X,"","","",X,"","","","","",X,X,"","","","","","","","","","","","","","","","","",X,"",X,"","","",X,"","","","","","","","","","",X,"","","","","","","","","","",X,"",X,X,"","","Technical expertise, natural defense systems (natural vegetation and protected areas with resistant species and natural adaptation features, such as Sundarban Biosphere Reserve), local and indigenous knowledge and traditional adaptation practices (e.g rainwater harvesting/season-based cropping/floating agriculture/deepwater rice cultivation, mangrove plantation program outside the protective coastal embankments","Wrong selection of species and methods of afforestation, unplanned development, policies formulated with narrow sector-oriented objectives, lack of proper participation of natural resource dependent occupational groups in policies, lack of participation of farmers in research activities, lack of priority actions for coastal development in policies, limited linkages between government agencies and NGOs, institutional fragmentation, absence of coastal policies at local level, top-bottom approach, lack of scientific information",No,"""Local communities developed many adaptation techniques, innovations and knowledge to address climatic vulnerability. Rural people, farmers and others developed their location specific knowledge and practices of agriculture, natural resource management, human and animal health care.""",Community Governance,"",Legal and Regulatory Instruments,"Coastal Afforestation Scheme, Coastal Zone Policy, National Strategy for Economic Growth and Poverty Reduction, National Adaptation Programme of Action, Bangladesh Climate Change Strategy and Action Plan, Bangladesh Resource Centre for Indigenous knowledge","","",Private; Media; Funders; Civil Society; Academia; NGOs; Governments,"PRECIS (Providing REgional Climates for Impacts Studies), orest Department, Research institutions, rural and urban administrative bodies, men and women and yoyth communities,","","",Biodiversity; Climate; Health; Food; Water,"",Poverty; Indigenous values and knowledge,"",Review; Empirical,"",Maybe,"",""
2620,Claret 2018,Understanding the integration of ecosystem services and natural capital in Scottish policy,Consensus,Western Europe,Scotland,National (whole country),Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ,"","","",X,"","","","","","","",X,"","","","",X,X,"","","","","",X,"","","","","","","","","","","","",X,"","","",X,"",X,"","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scotland's proactive approach to the European Union demonstrating a willingness to exceed the mandated requirements, development of environmental assessments to contribute to the integration of ES/NC into Scottish policy, decision-support indicators, targeted research, best-practice promotion","Gaps in available and acessible data, potential opportunity costs, lack of binding legislative acts, lack of full implementation of explicit and comprehensive political objectives, 
discrepancies between political sectors often reflect differences in integration at the European level, difficulties in turning the patchy knowledge of ecosystem functioning into proactive policy intervention and concrete measures,",No,"","","",Legal and Regulatory Instruments,"Land Use Strategy for Scotland, 2006 Forest Strategy, Deear Management on the National Forest Estate, The right tree in the right place, Woodland expansion Advisory Group, The role of Scotland's National Forest Estate and strategic directions for 2013-2016, River Basin Management Plans, European Agricultural Fund for Rural Development",The author reviewed 212 policy documents,"",Regional Organisations; Governments,"Forestry Commission, Forest Enterprise Scotland","","",Biodiversity; Climate; Food; Water,"",Economic growth; Energy,"",Review,"",No,"",""
2617,Singh 2021,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Consensus,Southern Asia,India,Subnational >100 km² (watershed),"","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"","","","","",X,"","","","","","","","","","","",X,"",X,"","","",X,"","","","","","","","","","",X,"","","","","","","","","","","",X,"","","","","","Lack of skills, unfavorable policies (uncertain policy and regulatory frameworks negatively affected the flood recession farming), lack of access to credit and insurance facilities","","Women's involvement and ownership in FRF (flood recession farming) empowers them, reducing gender inequalities",Community Governance,"",Legal and Regulatory Instruments,"Ganga Action Plan of 1986, Namami Gange Plan of 2014","","",Civil Society,"Farmers, households","","",Biodiversity; Climate; Health; Food; Water,"",Equity; Poverty; Indigenous values and knowledge; Other: Soil ,"",Review; Empirical,"",No,"",The authors explored in detail the dynamics of flood recession agriculture but did not delve into governance. I was able to extract a few pieces of information
2614,Shahbaz 2022,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Consensus,Southern Asia,Pakistan,Site <1 km² (field to farm),Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",X,"","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","Households in urban areas, higher education levels, larger family sizes, higher-income households, daily household consumption practices rather than sector-specific policies.","",No,Environmental and climate change knowledge considered the primary driver of clean and green consumption behavior.,"","","","","","",Civil Society; Governments,Households,"","",Climate; Food; Water,"",Energy,"",Review; Empirical; Modelling,"",No,"",""
2613,Vanino 2023,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Consensus,Eastern Europe;  Northern Europe; Southern Europe; Western Europe,"Some countries were considered as Central Europe: Austria, Hungary, Poland, Slovakia, Slovenia, Switzerland","Regional (multiple countries, whole continents)","Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",x,x,"","","","",x,"","","","","","","","","","","",x,"","","","","","","","","","","","","",x,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Development, sharing and transfer, harmonization organization and storage, application","Development, sharing and transfer, harmonization organization and storage, application",No,"The paper brings a specific list of ""opportunities"" and barriers that fits some of the enablers in our list, but not all, because it is focused on knowledge.","",The paper does not present a clear governance scheme.,"","","","",Private; Civil Society; Academia; IPLCs; NGOs; Regional Organisations,"","","",Biodiversity; Climate; Health; Food; Water,The paper is focused on soil and it correlates with different nexus dimensions from an analysis of the stakeholder perspective. ,"","",Empirical,Consultation of stakeholders perspectives on barriers and opportunities for soil knowldge.,Maybe,"","I have inclueded this paper because it relates to nexus in a indirect way on the perspective of soil knowledge... But it did not explore nexus, REALLY. "
2612,Demirel 2023,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Consensus,Central Asia; Eastern Europe,Türkiye,Subnational >100 km² (watershed),Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,"","","","","","","","","","","",Biodiversity; Climate; Food,"","","",Empirical,"",No,"","This paper does not focus on governance, but rather on the links between different newus elements (biodiversity, food-fish and climate)."
2609,Lü 2012,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Consensus,Eastern Asia,China,Subnational >100 km² (watershed),Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),"","",X,"","","",X,"","","",X,"","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",X,"","","","","","","","","","","","","","","","","","",X,"","","","","",X,"","","","","","","","","","",X,"","","","","","","","","","",X,"","","","","","Close cooperation between local government and staholders, external funding, preliminary adaptive approach informed by ongoing monitoring/evaluation and performance assessment","",Yes,"","","",Legal and Regulatory Instruments,Grain to Green Program (GTGP) ,"",Establishment of an adaptive management approach,Private; Civil Society; Multilateral Organisations; Governments,"Rural households, Chinese Central Government, private sectors, enterprises, the World Bank","","",Biodiversity; Climate; Food; Water,"",Economic growth,"Evaluation of four ecosystem services: water regulation, soil conservation, carbon sequestration and grain production",Modelling,"",Maybe,"","""As the GTGP has been implemented in over 200 counties across seven provinces in the region, data insufficiency and uncertainty excluded a cost benefit analysis of the GTGP across the whole Loess Plateau. A local scale analysis in Dunhua county indicated that the net benefit (sometimes negative) varied widely according to geographical location (or environmental context), land productivity and discount rate. Subsequently, the risk of re-cultivation of re-vegetated croplands will remain high if the policy-related economic compensation measures from the government are terminated"""
2607,Scott 2014,Irrigation efficiency and water-policy implications for river basin resilience,Consensus,Latin America and the Caribbean; Northern America; Southern Europe,"Chile, USA, Spain",Subnational >100 km² (watershed),Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","",X,"","","","","","Economic incentives (production-based subsidies; Spain),",Financial constraint (especially in small-scale agriculture),No,"","","",Legal and Regulatory Instruments,"Ley de Fomento al Riego No. 18.450 (Chile), Quantification Settlement Agreement (US), European Common Agricultural Policy (Spain), Spanish Water Act 29/1985  (Spain), Spanish National Irrigation Plan (2002–2008), Emergency Plan for the Modernization of Irrigation (2006–2008), ","","",Civil Society; Governments,"Junta de Vigilancia Rio Limarí (Chile),  Metropolitan Water District (US), Imperial Irrigation District (US)","","",Biodiversity; Food; Water,"","","",Review; Conceptual/theoretical,"",No,"","The authors analyze three case studies focusing on efficiency, scale and sectoral paradoxes. 

Additionally, authors mention that policy mechanisms to reserve surplus water in the reservoir or aquifer instead of expanding irrigation include regulated controls on irrigated area, price incentives, and provision of information to support farmer and irrigation district decision-making to better adapt to future contingencies"
