Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Key axes of global progress towards the Sustainable Development Goals,"Yin, C.; Zhao, W.; Fu, B.; Meadows, M.E.; Pereira, P.","Identifying the principal dimensions of Sustainable Development Goals (SDGs) is key to measuring the extent to which SDGs are addressing the broader aim of agenda 2030. However, the key axes of global SDG progress over the past two decades remain largely unknown. This study aimed to identify the major axes of global SDG progress and analyze the variation of SDG axes along with their spatial-temporal patterns and in relation to economic status. Principal Component Analysis was used to identify major axes of the SDGs that comprise basic-needs, governance, and higher-needs bundles. The results show that three key axes, viz. resources and ecosystems, the living environment, and well-being and equality, underpin the basic-needs, governance, and higher-needs SDGs respectively. Spatially, highest PC scores for basic-needs are clustered in high income countries, governance PC scores are globally polarized, while the results suggest that higher-needs PC scores are progressing only at a sluggish pace in most countries. In terms of temporal trends, progress has relied heavily on the contribution of basic-needs and governance SDGs. The SDG axes differ by country income levels, although the goals that contribute most to major axes in high-income countries also contribute most to global axes. The identified key axes of SDG progress highlight the necessity to promote the nexus of sustainable food-water-land, resilient cities, health, and equality to implement the SDGs more holistically. The study assists in the identification of appropriate research priorities and in developing more effective transformation strategies towards delivering the SDGs by 2030. © 2022 Elsevier Ltd",2023,,J. Clean. Prod.,385,,,,10.1016/j.jclepro.2022.135767,,#1,Yin 2023,"",""
Navigating the nexus: The role of intermediaries in charting a new frontier of policy integration for agrifood and energy systems transformation,"Ptak, E.N.; Graversgaard, M.; Dalgaard, T.","The effects of climate change are instigating a discourse shift towards net-zero emissions agriculture. However, a sectoral silo paradigm of policy design is incompatible with a systems approach to address complex global environmental challenges. This study introduces a social cartography approach that amalgamates network theory with a nexus perspective to identify social relation changes in the making. The study examines the role of an advisor-led initiative promoting the discourse of climate-smart farming in Scotland and identifies the impacts upon farmer knowledge networks. The social cartography comprises of a survey, farm meeting observations, and social network analysis of the agriculture, climate change, and energy (ACE) policyscape. As a visualization method, the social cartography provides a conceptual compass to navigate social relation changes of farmer knowledge networks amidst discursive transition. The results demonstrate that the advisor-led initiative acts an intermediary of discursive transition by introducing new knowledge frames and practices of farming that facilitate network shifts. However, voluntary measures fall short of instigating cross-sectoral interplay to actualize transformation towards systems integration. Furthermore, the study presents policy design elements to chart a new frontier of integrated agrifood and energy systems governance in Scotland. © 2022 The Authors",2023,,Environ. Sci. Policy,139,,92-103,,10.1016/j.envsci.2022.10.019,,#6,Ptak 2023,"",""
Partnerships and Network Governance for Urban Food-Energy-Water (FEW) Nexus,"Kapucu, N.; Beaudet, S.; Chang, N.-B.; Qiu, J.; Peng, Z.-R.","Few studies have examined the critical role of policy and network governance mechanism in addressing sustainability and FEW nexuses. This study aims to examine the efforts in meeting the UN Sustainable Development Goals (SDGs) at the urban environment. More specifically, the study seeks to examine how growing demands on the food-energy-water (FEW) nexuses can be met through partnerships in dense urban areas as population growth and human migration continue to accelerate in metropolitan areas worldwide. The goal of the article is to address the role of multi-stakeholder partnership in the successful implementation of FEW nexus projects. The study highlights how FEW nexus projects can improve urban sustainability and equity with the aid of stakeholder involvement. The study contributes how FEW nexus projects can improve urban sustainability with stakeholder engagement with varying degrees of partnerships with public, private, and nonprofit sector organizations in both policy and governance. © 2021 Taylor & Francis Group, LLC.",2023,,Int. J. Public Adm.,46,1,18-31,,10.1080/01900692.2021.1967981,,#8,Kapucu 2023,"",""
Appraising the Water-Energy-Food Nexus From a Sustainable Development Perspective: A Maturing Paradigm?,"Hejnowicz, A.P.; Thorn, J.P.R.; Giraudo, M.E.; Sallach, J.B.; Hartley, S.E.; Grugel, J.; Pueppke, S.G.; Emberson, L.","The water-energy-food (WEF) nexus is a prominent approach for addressing today's sustainable development challenges. In our critical appraisal of the WEF, covering different approaches, drivers, enablers, and applications, we emphasize the situation across the Global South (Africa, Asia, Latin America and the Caribbean). Here, WEF research covers at least 23 focal domains. We find that the nexus is still a maturing paradigm primarily rooted in a physical and natural sciences framing, which is itself embedded in a neoliberal securities narrative. While providing insights and tools to address the systemic interdependencies between resource sectors whose exploitation, degradation, and sub-optimal management contribute to (un)sustainable development, there is still insufficient engagement with social, political, and economic dimensions. Progress related to climate, urbanization, and resource consumption is encouraging, but while governance and finance are central enablers of current and future nexus systems, gaps remain in relation to implementation and operationalization. Harnessing the nexus for sustainable development across the Global South means recognizing that it is more than a biophysical system, but also a multi-scale complex of people, institutions, and infrastructure, affected by history and context. Addressing this complexity requires alternative and possibly challenging perspectives to counter dominant narratives, and manage problems associated with policy integration, trade-offs, and winners and losers. We outline 10 emergent research areas that we think can contribute to this endeavor and enable the nexus to be a stronger policy force. © 2022 The Authors. Earth's Future published by Wiley Periodicals LLC on behalf of American Geophysical Union.",2022,,Earth's Futur.,10,12,,,10.1029/2021EF002622,,#11,Hejnowicz 2022,"",""
Towards planetary nexus governance in the Anthropocene: An earth system law perspective,"Kotzé, L.J.; Kim, R.E.","Nexus governance recognises that sustainability concerns such as water, energy, and food security are interlinked and provides an alternative to fragmented governance. Although it has been applied mostly in the domestic context, the need for nexus governance is also apparent at a planetary scale, as highlighted by interacting planetary boundaries, global telecoupling, and global tipping cascades. However, international environmental law is unable to facilitate what we call ‘planetary nexus governance’. This is mainly because international environmental law lacks an ecological Grundnorm and because its primary rules of conduct remain fragmented in the absence of effective secondary rules on how primary rules should relate to each other. Recognising this challenge, scholars have recently proposed earth system law as a new framework to rethink, in an integrated way, law in an Anthropocene context. Building on this framework, we suggest that international environmental law should adopt a unifying Grundnorm such as planetary integrity. We also suggest that international institutional law, as a body of secondary rules, has an important role to play in facilitating planetary nexus governance by bringing together fragmented bodies of international law. We briefly discuss ways in which international environmental law could reorientate itself to better facilitate planetary nexus governance. © 2022 The Authors. Global Policy published by Durham University and John Wiley & Sons Ltd.",2022,,Global Policy,13,S3,86-97,,10.1111/1758-5899.13149,,#12,Kotzé 2022,"",""
Co-Benefits Through Coordination of Climate Action and Peacebuilding: A System Dynamics Model,"Morales-Muñoz, H.; Bailey, A.; Löhr, K.; Caroli, G.; Villarino, M.E.J.; LoboGuerrero, A.M.; Bonatti, M.; Siebert, S.; Castro-Nuñez, A.","Climate disasters affect human security and development, moreso in fragile and conflict-affected contexts where population’ capacities to cope with climate change are compromised. Responses to such crises lie at the nexus of humanitarian assistance, development, and peacebuilding. Yet, there are still too few integrated programmatic responses coordinating peacebuilding and climate actions to ensure a progressive human development. This research develops a multi-scalar model to help actors identify thematic areas to inform synergistic efforts and programs at different scales to better coordinate their actions. Findings suggest that climate action and peacebuilding sectors can coordinate actions around climate and conflict risk assessments, the management of land and water resources, ecosystem restoration, nature-based climate adaptation, climate and conflict smart agriculture, natural resources governance, and sustainable market development. These collaborative efforts have the potential to generate co-benefits, such as increased social cohesion and livelihood creation. © The Author(s) 2022.",2022,,J. Peacebuild. Dev.,17,3,304-323,,10.1177/15423166221132149,,#14,Morales-Muñoz 2022,"",""
Integrated Water Resources Management Based on Water Governance and Water-food-energy Nexus through System Dynamics and Social Network Analyzing Approaches,"Samadi-Foroushani, M.; Keyhanpour, M.J.; Musavi-Jahromi, S.H.; Ebrahimi, H.","The significance of integrated water resources management (IWRM) is well known, while its practical implementation methods are yet to be recognized fully. The issue of recognizing and implementing an Integrated Water Resources Management based on Water Governance policies in Iran is assessed. The integrated water resources management policies, based on the simulation of the system dynamic model of sustainable water resources management, are applied to accomplish this task. The water-food-energy Nexus is of concern in this study. The obtained results indicate a 16% increase in irrigation efficiency, a 10% improvement in cultivation patterns, a 6% decrease in agricultural production loss, a 5% decrease in food product loss, and a 5% increase in annual agricultural performance. The structure of the power distribution network among legal water governance institutions in Iran is evaluated to assess the proper implementation of strategies through the social network analyzing approach. The capacities for developing participatory governance, including the Ministry of Agriculture Jihad's legal power expansion, strengthening the academic and knowledge-based enterprises' cooperation, and improving the private sector, stance, and NOGs’ supervision at state and local levels. Applying this integrated approach to modeling this dynamic integrated system is the objective. The innovation of this study is the adoption of system approaches in decision making policies extracted from dynamic integration of WFE in the water collaborative governance to achieve cohesive water management. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",2022,,Water Resour. Manage.,36,15,6093-6113,,10.1007/s11269-022-03343-6,,#15,Samadi-Foroushani 2022,"",""
Global adaptation readiness and income mitigate sectoral climate change vulnerabilities,"Sarkodie, S.A.; Ahmed, M.Y.; Owusu, P.A.","Climate change has become a global burden, requiring strong institutional quality and willingness to mitigate future impacts. Though emissions are transboundary and have the tendency of spreading from high emitting countries to low emitting countries, regional exposure, sensitivity, and adaptation readiness determine the extent of climate effects. The existing literature focuses on immediate drivers and damages of emission effects, failing to account for underlying mechanisms occurring via the nexus between emission levels, economic, social, and governance adaptation readiness. Here, this study broadens the scope of previous attempts and simultaneously examines climate change vulnerability across sectors including ecosystem services, food, health, human habitat, infrastructure, and water. We use the Romano–Wolf technique to test multiple hypotheses and present the spatial–temporal severity of climate vulnerability and readiness to combat climate change and its impacts. Besides, we assess the long-term impact of climate change readiness and income expansion on sectoral-climate vulnerabilities. We find that high-income economies with high social, governance, and economic readiness have low climate vulnerability whereas developing economies with low income have high climate change exposure and sensitivity. Our empirical evidence could be used to prioritize limited resources in addressing and managing adaptive actions of extreme climate change vulnerabilities. © 2022, The Author(s).",2022,,Hum. Soc. Sci. Comm,9,1,,,10.1057/s41599-022-01130-7,,#21,Sarkodie 2022,"",""
A Societal Metabolism Approach to Effectively Analyze the Water–Energy–Food Nexus in an Agricultural Transboundary River Basin,"Taghdisian, A.; Bukkens, S.G.F.; Giampietro, M.","We implemented the semantically open conceptual framework ‘Multi-Scale Integrated Analysis of Societal and Ecosystem Metabolism’ (MuSIASEM) to deal with nexus challenges in agricultural production systems in transboundary river basins, using the Iranian Aras River Basin as a case study. The performance of the agricultural sector was characterized for relevant typologies of crop production using metabolic profiles, i.e., inputs and outputs per ton of crop produced, per hectare of land use, and per hour of labor. This analysis was contextualized across hierarchical levels of analysis, including the agronomic context at the regional level (rainfed versus irrigated cultivation), the socio-economic and political context at the national level (food sovereignty; urbanization), and the hydro-ecological context of the larger transboundary river basin (water constraints, GHG emissions). We found that the simultaneous use of two different interrelated logics of aggregation—the productivity of land and labor (relevant for the agronomic and socio-economic dimension) and the density of flows under different land uses (relevant for the hydrological and ecological dimension)—allowed for the identification of trade-offs in policy deliberations. In the case of Iran, it showed that striving for strategic autonomy will exacerbate the current water crisis; with the current cropping patterns, agronomic improvements will not suffice to avert a water crisis. It was concluded that the proposed approach fills an important gap in nexus research, but to effectively guide nexus governance in the region, a co-production of the analysis with social actors as well as more complete data sets at the river basin level would be essential. © 2022 by the authors.",2022,,Sustainability,14,15,,,10.3390/su14159110,,#48,Taghdisian 2022,"",""
A Systematic Literature Review of Water-Migration-Gender Nexus Toward Integrated Governance Strategies for (Non) Migrants,"Irbık, D.E.","Water access and environmental migration are crucial global development issues to be examined from an interdisciplinary perspective. Although climate change and water-related dimensions of migration have been widely studied, a gendered lens on this topic is scarce in the current academic literature. To address this gap, I use insights from feminist political ecology and a water-migration-gender nexus to analyze the gender aspects in women's experiences, challenges, and opportunities due to climate change and water stressors. After conducting a systematic literature review, 67 articles were appraised for quality and included in the synthesis to review existing policies. In the discussion section, based on these existing policies, I propose integrated governance strategies that could synergically mitigate water-related problems and (non) migration challenges with a neglected gender focus so that women and girls can prepare to be more resilient to the social, economic, and environmental changes in everyday life. This paper engages with vulnerability, tolerance, and adaptation of women and girls to socio-ecological changes around the water discourse, and it proposes a conceptual framework for the integrated governance strategies to understand better the connection between water-related security risks and development problems resulting from climate change, (non) migration, and gender. Copyright © 2022 Irbık.",2022,,Front. Water.,4,,,,10.3389/frwa.2022.921459,,#53,Irbık 2022,"",""
